Title,Genre,Year Release,Rating,Studio
Girls' Last Tour,"{'Slice of Life', 'Sci-Fi', 'Adventure', 'Mystery'}",2017,8.21,White Fox
Magi: The Kingdom of Magic,"{'Fantasy', 'Adventure', 'Action'}",2013,8.21,A-1 Pictures
Maison Ikkoku,"{'Romance', 'Comedy', 'Drama'}",1986,8.21,Studio Deen
Symphogear XV,"{'Sci-Fi', 'Action'}",2019,8.21,Satelight
Bungo Stray Dogs 3,"{'Mystery', 'Supernatural', 'Action'}",2019,8.21,Bones
Fruits Basket 1st Season,"{'Romance', 'Drama', 'Supernatural'}",2019,8.21,TMS Entertainment
Honey and Clover II,"{'Romance', 'Drama'}",2006,8.2,J.C.Staff
InuYasha: The Final Act,"{'Romance', 'Fantasy', 'Adventure', 'Action'}",2009,8.2,Sunrise
The Case Study of Vanitas Part 2,"{'Mystery', 'Fantasy', 'Action'}",2022,8.2,Bones
My Teen Romantic Comedy SNAFU TOO!,"{'Romance', 'Comedy'}",2015,8.2,feel.
Megalobox 2: Nomad,"{'Sci-Fi', 'Sports'}",2021,8.19,TMS Entertainment
Mobile Suit Gundam: The Origin - Advent of the Red Comet,"{'Sci-Fi', 'Action'}",2019,8.18,Sunrise
Little Busters! ~Refrain~,"{'Romance', 'Comedy', 'Supernatural', 'Drama'}",2013,8.18,J.C.Staff
Bakuman.,"{'Romance', 'Comedy', 'Drama'}",2010,8.18,J.C.Staff
Bungo Stray Dogs 2,"{'Mystery', 'Supernatural', 'Action'}",2016,8.18,Bones
Chihayafuru,"{'Drama', 'Sports'}",2011,8.18,Madhouse
Dragon Ball Z,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",1989,8.18,Toei Animation
Fate/stay night [Unlimited Blade Works],"{'Fantasy', 'Supernatural', 'Action'}",2014,8.18,ufotable
Initial D Second Stage,"{'Drama', 'Action'}",1999,8.18,Pastel
Aria the Natural,"{'Slice of Life', 'Fantasy', 'Sci-Fi'}",2006,8.17,HAL Film Maker
Cardcaptor Sakura,"{'Comedy', 'Drama', 'Fantasy', 'Romance', 'Adventure'}",1998,8.17,Madhouse
Higurashi: When They Cry – Kai,"{'Suspense', 'Horror', 'Supernatural', 'Mystery'}",2007,8.17,Studio Deen
Moriarty the Patriot,"{'Suspense', 'Mystery'}",2020,8.17,Production I.G
K-ON! Season 2,"{'Comedy', 'Award Winning'}",2010,8.17,Kyoto Animation
Case Closed,"{'Comedy', 'Adventure', 'Mystery'}",1996,8.17,TMS Entertainment
Ouran High School Host Club,"{'Romance', 'Comedy'}",2006,8.16,Bones
A Certain Scientific Railgun T,"{'Fantasy', 'Sci-Fi', 'Action'}",2020,8.16,J.C.Staff
Kaiba,"{'Romance', 'Award Winning', 'Mystery', 'Sci-Fi', 'Adventure', 'Avant Garde'}",2008,8.15,Madhouse
Lupin the Third Part 5,"{'Mystery', 'Comedy', 'Adventure', 'Action'}",2018,8.15,Telecom Animation Film
Noragami Aragoto,"{'Fantasy', 'Action'}",2015,8.15,Bones
Princess Tutu,"{'Romance', 'Drama', 'Fantasy', 'Mystery'}",2002,8.15,HAL Film Maker
Death Parade,"{'Drama', 'Suspense', 'Supernatural'}",2015,8.15,Madhouse
Black Clover,"{'Comedy', 'Fantasy', 'Action'}",2017,8.14,Pierrot
Golden Kamuy Season 4,"{'Adventure', 'Action'}",2022,8.14,Brain's Base
Food Wars! Shokugeki no Soma,"{'Ecchi', 'GourmetGourmet'}",2015,8.14,J.C.Staff
That Time I Got Reincarnated as a Slime,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",2018,8.14,8bit
Nisemonogatari,"{'Ecchi', 'Comedy', 'Supernatural', 'Mystery'}",2012,8.14,Shaft
Ya Boy Kongming!,"{'Comedy', 'Supernatural'}",2022,8.14,P.A. Works
Reborn!,"{'Comedy', 'Action'}",2006,8.13,Artland
Moribito - Guardian of the Spirit,"{'Fantasy', 'Adventure', 'Action'}",2007,8.13,Production I.G
Keep Your Hands Off Eizouken!,"{'Comedy', 'Adventure', 'Award Winning'}",2020,8.13,Science SARU
Gankutsuou: The Count of Monte Cristo,"{'Drama', 'Supernatural', 'Suspense', 'Mystery', 'Sci-Fi', 'Award Winning'}",2004,8.13,Gonzo
Hinamatsuri,"{'Comedy', 'Supernatural'}",2018,8.13,feel.
Future Boy Conan,"{'Drama', 'Sci-Fi', 'Adventure'}",1978,8.12,Nippon Animation
Fullmetal Alchemist,"{'Drama', 'Fantasy', 'Action', 'Adventure', 'Award Winning'}",2003,8.11,Bones
Hell's Paradise,"{'Fantasy', 'Adventure', 'Action'}",2023,8.11,MAPPA
Classroom of the Elite II,"{'Drama', 'Suspense'}",2022,8.11,Lerche
Kamisama Kiss,"{'Romance', 'Comedy', 'Fantasy'}",2012,8.11,TMS Entertainment
Mobile Suit Gundam 00,"{'Drama', 'Sci-Fi', 'Action'}",2007,8.11,Sunrise
Black Butler: Public School Arc,"{'Mystery', 'Fantasy', 'Action'}",2024,8.11,CloverWorks
KonoSuba: God's Blessing on This Wonderful World!,"{'Comedy', 'Fantasy', 'Adventure'}",2016,8.1,Studio Deen
Durarara!!,"{'Mystery', 'Supernatural', 'Action'}",2010,8.1,Brain's Base
JoJo's Bizarre Adventure: Stardust Crusaders,"{'Adventure', 'Supernatural', 'Action'}",2014,8.1,David Production
The Eccentric Family 2,"{'Comedy', 'Fantasy', 'Drama'}",2017,8.09,P.A. Works
Terror in Resonance,"{'Suspense', 'Mystery'}",2014,8.09,MAPPA
Serial Experiments Lain,"{'Award Winning', 'Drama', 'Supernatural', 'Suspense', 'Mystery', 'Sci-Fi', 'Avant Garde'}",1998,8.09,Triangle Staff
Shangri-La Frontier,"{'Fantasy', 'Adventure', 'Action'}",2023,8.09,C2C
